Term 1,Term 2,Term 3,Frequency,Context Frequency,Conditional Probability
que,ya,no,8,69,0.11594202898550725
uffas,men,>,8,8,1.0
me,lleva,la,8,10,0.8
si,bro,ntp,8,33,0.24242424242424243
mundo,>,<,8,8,1.0
a,ok,ok,8,10,0.8
gracias,gracias,>,8,8,1.0
<,gracias,gracias,8,88,0.09090909090909091
otra,vez,>,8,20,0.4
>,<,aja,8,12341,0.0006482456851146585
la,escuela,>,8,22,0.36363636363636365
con,un,amigo,8,18,0.4444444444444444
<,si,xd,8,547,0.014625228519195612
<,ahora,>,8,71,0.11267605633802817
>,<,toy,8,12341,0.0006482456851146585
tarea,>,<,8,8,1.0
mames,>,<,8,8,1.0
<,uffas,men,8,19,0.42105263157894735
amigo,>,<,8,8,1.0
>,<,aaaaa,8,12341,0.0006482456851146585
<,aja,>,8,8,1.0
<,pq,el,8,208,0.038461538461538464
>,<,estuvo,8,12341,0.0006482456851146585
años,>,<,8,8,1.0
bambi,>,<,8,8,1.0
nel,>,<,8,8,1.0
<,bambi,>,8,9,0.8888888888888888
aja,>,<,8,8,1.0
bro,ntp,>,8,8,1.0
abuela,>,<,8,8,1.0
examen,>,<,8,8,1.0
